country,category,domain,dnssec_apex,dkim_selector,dkim_kind,dkim_validated
NL,registry,sidn.nl,signed,selector2,cname,no
CA,registry,cira.ca,signed,selector1,cname,no
CA,gov,canada.ca,unsigned,selector1,cname,no
BE,registry,dnsbelgium.be,signed,selector1,cname,no
CH,registry,nic.ch,signed,selector2,direct,yes
MX,gov,gob.mx,signed,none,none,na
AT,registry,nic.at,signed,selector1,cname,no
FR,registry,afnic.fr,signed,mail,direct,yes
NL,gov,government.nl,signed,none,none,na
BE,gov,belgium.be,signed,none,none,na
DE,gov,bund.de,signed,none,none,na
DE,registry,denic.de,signed,mail,direct,yes
FR,gov,service-public.fr,unsigned,mail,direct,no
NO,registry,norid.no,signed,selector1,cname,no
SE,registry,internetstiftelsen.se,signed,selector1,cname,no
CH,gov,admin.ch,unsigned,none,none,na
UK,registry,nominet.uk,signed,none,none,na
DK,gov,borger.dk,signed,selector1,direct,yes
DK,registry,dk-hostmaster.dk,signed,selector2,cname,no
NO,gov,regjeringen.no,signed,none,none,na
PL,registry,nask.pl,unsigned,selector1,cname,no
UK,gov,gov.uk,signed,none,none,na
CZ,registry,nic.cz,signed,default,direct,yes
IE,gov,gov.ie,unsigned,none,none,na
SE,gov,regeringen.se,signed,none,none,na
FI,gov,valtioneuvosto.fi,unsigned,none,none,na
CZ,gov,gov.cz,signed,none,none,na
ES,registry,dominios.es,signed,selector1,cname,no
IT,gov,governo.it,unsigned,selector1,cname,no
IS,registry,isnic.is,signed,none,none,na
PL,gov,gov.pl,signed,none,none,na
FI,registry,traficom.fi,signed,s1,direct,yes
SI,gov,gov.si,signed,selector1,cname,no
AT,gov,oesterreich.gv.at,unsigned,none,none,na
EE,registry,internet.ee,unsigned,google,direct,no
ES,gov,lamoncloa.gob.es,signed,s2,direct,yes
IT,registry,nic.it,signed,mail,direct,yes
AU,registry,auda.org.au,signed,selector2,cname,no
IS,gov,island.is,unsigned,k2,cname,no
AU,gov,australia.gov.au,unsigned,none,none,na
SG,registry,sgnic.sg,signed,selector1,cname,no
EE,gov,eesti.ee,signed,none,none,na
PT,registry,dns.pt,signed,mail,direct,yes
IN,registry,registry.in,signed,none,none,na
NZ,gov,govt.nz,signed,none,none,na
NZ,registry,internetnz.nz,signed,google,direct,yes
BR,gov,gov.br,signed,none,none,na
BR,registry,registro.br,signed,none,none,na
JP,registry,jprs.jp,signed,none,none,na
SG,gov,gov.sg,signed,none,none,na
JP,gov,japan.go.jp,signed,none,none,na
KR,gov,korea.kr,unsigned,none,none,na
GR,gov,gov.gr,signed,none,none,na
ZA,gov,gov.za,unsigned,none,none,na
IN,gov,india.gov.in,unsigned,none,none,na
PT,gov,gov.pt,signed,none,none,na
SURVEY_DONE
