region,category,domain,dnssec_apex,dkim_selector,dkim_kind,dkim_validated
US,gov,gsa.gov,signed,google,direct,yes
US,gov,fcc.gov,unsigned,dkim,direct,no
US,gov,nasa.gov,signed,selector1,cname:selector1-nasa-gov,no
US,gov,nist.gov,signed,selector1,cname:selector1-nist-gov,no
US,gov,cisa.gov,signed,selector1,cname:Selector1-cisa-gov,no
US,gov,irs.gov,signed,none,none,na
US,gov,state.gov,signed,mail,direct,yes
US,gov,treasury.gov,unsigned,none,none,na
US,gov,whitehouse.gov,signed,selector1,cname:selector1-whitehou,no
US,gov,usa.gov,signed,none,none,na
US,infra,verisign.com,signed,none,none,na
US,infra,icann.org,signed,none,none,na
US,infra,arin.net,signed,none,none,na
US,infra,isc.org,signed,k2,cname:dkim2.mcsv.net.,no
US,infra,internet2.edu,signed,selector1,cname:selector1-internet,no
US,tech,google.com,unsigned,none,none,na
US,tech,microsoft.com,unsigned,selector2,cname:selector2-microsof,no
US,tech,apple.com,unsigned,selector1,cname:selector1-apple-co,no
US,tech,amazon.com,unsigned,none,none,na
US,tech,cloudflare.com,signed,none,none,na
US,tech,github.com,unsigned,selector1,cname:selector1-github-c,no
US,finance,jpmorganchase.com,unsigned,none,none,na
US,finance,bankofamerica.com,signed,none,none,na
US,finance,wellsfargo.com,unsigned,none,none,na
US,finance,citi.com,unsigned,none,none,na
US,edu,mit.edu,unsigned,selector2,cname:selector2-mit-edu,no
US,edu,stanford.edu,signed,default,direct,yes
US,edu,berkeley.edu,signed,google,direct,no
US,news,nytimes.com,unsigned,google,direct,no
US,news,wsj.com,unsigned,selector2,direct,no
EU,gov,bund.de,signed,none,none,na
EU,gov,europa.eu,signed,none,none,na
EU,gov,service-public.fr,unsigned,mail,direct,no
EU,gov,government.nl,signed,none,none,na
EU,gov,gov.pl,signed,none,none,na
EU,gov,gov.it,signed,none,none,na
EU,gov,lamoncloa.gob.es,signed,s2,direct,yes
EU,gov,bund.gv.at,signed,none,none,na
EU,gov,gov.uk,signed,none,none,na
EU,gov,riksdagen.se,signed,none,none,na
EU,infra,afnic.fr,signed,mail,direct,yes
EU,infra,nlnetlabs.nl,signed,default,direct,yes
EU,infra,nic.cz,signed,default,direct,yes
EU,infra,ripe.net,signed,none,none,na
EU,infra,denic.de,signed,mail,direct,yes
EU,infra,sidn.nl,signed,selector2,cname:selector2-sidn-nl,no
EU,tech,sap.com,unsigned,selector1,cname:selector1-sap-com,no
EU,tech,spotify.com,unsigned,google,direct,no
EU,tech,booking.com,unsigned,pic,direct,no
EU,tech,adyen.com,unsigned,mail,direct,no
EU,finance,ing.com,signed,selector1,cname:selector1-ing-com,no
EU,finance,bnpparibas.com,signed,none,none,na
EU,finance,santander.com,unsigned,none,none,na
EU,finance,deutsche-bank.de,unsigned,none,none,na
EU,edu,ethz.ch,signed,selector1,cname:selector1-ethz-ch,no
EU,edu,tudelft.nl,signed,selector1,cname:selector1-tudelft-,no
EU,edu,sorbonne-universite.fr,unsigned,none,none,na
EU,news,bbc.co.uk,unsigned,none,none,na
EU,news,lemonde.fr,unsigned,google,direct,no
EU,news,spiegel.de,unsigned,selector1,cname:selector1-spiegel-,no
SURVEY_DONE
